entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,exit_reason
2021-10-19,2021-10-21,64261.9921875,62210.171875,-212.85991326602667,-3.1928986989904,stop_loss
2022-03-30,2022-03-31,47062.6640625,45538.67578125,-211.28548636525224,-3.238210822970239,stop_loss
2023-01-17,2023-03-09,21161.51953125,20363.021484375,-240.88696101625507,-3.7733492894771965,stop_loss
2023-06-29,2023-07-24,30445.3515625,29176.916015625,-259.2799705044184,-4.166269994521434,stop_loss
2023-10-20,2023-11-08,29682.94921875,35655.27734375,1217.3764432665866,20.120400035005364,take_profit
2024-05-21,2024-05-23,70136.53125,67929.5625,-215.9261888426463,-3.14667507883062,stop_loss
2024-07-30,2024-08-02,66201.015625,61415.06640625,-485.67905810100194,-7.2294196298442355,stop_loss
2024-09-28,2024-09-30,65887.6484375,63329.5,-248.26479713222236,-3.882591803115602,stop_loss
2025-05-03,2025-07-10,95891.796875,115987.203125,1305.3273695877447,20.95633506189838,take_profit
2025-09-19,2025-09-23,115688.859375,112014.5,-225.4696766574832,-3.176070189342724,stop_loss
2026-04-24,2026-05-27,77455.3125,74344.703125,-279.060200239379,-4.016005196544782,stop_loss
