short_window,long_window,stop_loss_pct,take_profit_pct,total_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,stability_score
20,100,0.03,0.2,4,50.0,5.65,30.11,4.7,12.901
20,100,0.03,0.15,4,50.0,4.1,18.2,4.7,8.61
20,100,0.05,0.2,4,50.0,4.11,16.1,4.3,8.540000000000003
30,100,0.03,0.2,4,50.0,3.17,20.78,7.3,6.228
10,100,0.03,0.2,5,40.0,3.08,26.19,9.1,6.0489999999999995
20,100,0.05,0.15,4,50.0,2.9,9.26,4.3,5.436
20,100,0.03,0.1,4,50.0,2.75,9.51,4.7,5.041
30,100,0.05,0.2,4,50.0,2.71,11.24,5.6,4.864000000000001
30,100,0.03,0.15,4,50.0,2.57,14.21,7.3,4.371
20,50,0.05,0.1,9,55.6,2.33,12.65,6.3,4.035000000000001
10,100,0.05,0.2,5,40.0,2.42,13.21,7.6,3.881
20,100,0.08,0.2,4,50.0,2.25,7.26,5.1,3.696
30,50,0.08,0.15,9,55.6,2.15,7.39,4.8,3.5989999999999998
30,40,0.03,0.1,14,57.1,2.2,19.63,9.5,3.5130000000000003
20,50,0.03,0.1,9,44.4,2.13,15.3,7.7,3.48
30,100,0.05,0.15,4,50.0,2.16,7.35,5.6,3.375000000000001
30,40,0.08,0.1,14,64.3,1.7,5.9,3.5,2.9400000000000004
20,100,0.05,0.1,4,50.0,1.9,4.2,4.3,2.9299999999999997
10,100,0.03,0.15,5,40.0,2.17,13.18,9.1,2.9279999999999995
20,50,0.08,0.1,9,55.6,1.81,6.0,4.7,2.8100000000000005
30,50,0.08,0.1,9,55.6,1.77,4.89,4.8,2.589
30,100,0.08,0.2,4,50.0,1.81,4.92,5.5,2.462
10,100,0.08,0.2,5,40.0,1.84,6.29,6.6,2.3290000000000006
30,100,0.03,0.1,4,50.0,1.87,7.39,7.3,2.289
30,40,0.08,0.2,14,57.1,1.45,4.27,4.6,1.947
30,40,0.08,0.15,14,57.1,1.45,4.25,4.6,1.9450000000000003
10,50,0.08,0.15,9,44.4,1.69,6.25,7.0,1.9049999999999998
20,100,0.08,0.15,4,50.0,1.56,3.14,5.1,1.9040000000000004
10,40,0.08,0.2,10,40.0,1.66,5.92,6.9,1.842
10,50,0.05,0.15,9,44.4,1.82,11.33,9.8,1.8329999999999997
30,100,0.05,0.1,4,50.0,1.54,3.32,5.6,1.732
10,50,0.08,0.2,9,44.4,1.61,5.49,7.0,1.669
30,40,0.03,0.15,14,50.0,1.8,15.21,11.6,1.6410000000000005
20,50,0.05,0.2,9,44.4,1.55,5.42,6.7,1.6320000000000006
30,40,0.03,0.2,14,50.0,1.79,15.06,11.6,1.6060000000000003
10,100,0.05,0.15,5,40.0,1.65,5.68,7.6,1.588
10,50,0.05,0.2,9,44.4,1.74,10.07,9.8,1.5470000000000002
10,40,0.08,0.15,10,40.0,1.53,4.76,6.9,1.4660000000000002
30,100,0.08,0.15,4,50.0,1.43,2.53,5.5,1.463
20,50,0.05,0.15,9,44.4,1.41,3.99,6.7,1.209
20,50,0.08,0.2,9,44.4,1.22,1.71,5.0,1.1109999999999998
10,50,0.03,0.15,9,33.3,1.65,11.67,11.2,1.1069999999999998
20,50,0.08,0.15,9,44.4,1.11,0.82,5.0,0.802
10,40,0.08,0.1,10,40.0,1.29,2.47,6.9,0.7570000000000001
30,40,0.05,0.1,14,57.1,1.43,6.17,9.1,0.7469999999999999
10,50,0.08,0.1,9,44.4,1.27,2.35,7.0,0.6749999999999998
